SKU,ON_HAND_QTY,QTY_COMMITTED,QTY_BACKORDERED,UNFULFILLED_QTY,AVAILABLE_ON_HAND_QTY,CURRENT_INVENTORY_POSITION
B86010-34,0,0,0,0,0,0
D124002-04,0,0,0,0,0,0
B86007-03,0,0,0,0,0,0
D55001-01-Q2,0,0,0,0,0,0
P56002-02,0,0,0,0,0,0
P68003-01,0,0,0,0,0,0
TP53013-06-K,0,0,0,0,0,0
B86012-04-B,0,0,0,0,0,0
B144002-01,0,0,0,0,0,0
T57003-01-K,0,0,0,0,0,0
B80003-01,0,0,0,0,0,0
B86004-01-K,0,0,0,0,0,0
C84004-01-B,0,0,0,0,0,0
B86002-03,0,0,0,0,0,0
P67004-01,0,0,0,0,0,0
T12001-01-K-1,0,0,0,0,0,0
SS-R54020-01,0,0,0,0,0,0
D12816-01,0,0,0,0,0,0
B84046-02,0,0,0,0,0,0
R141024-04,0,0,0,0,0,0
D127001-02-Q2,0,0,0,0,0,0
B86006-09-K,0,0,0,0,0,0
TP53010-05,0,0,0,0,0,0
B86007-34,0,0,0,0,0,0
G10016-01,0,0,0,0,0,0
P56027-01,0,0,0,0,0,0
D121004-03-Q2,26,0,0,0,26,26
C10003-01,0,0,0,0,0,0
B86010-35,0,0,0,0,0,0
B86002-09-K,0,0,0,0,0,0
TP53009-01,0,0,0,0,0,0
SS-R126004-02,0,0,0,0,0,0
F97022-02,0,0,0,0,0,0
R88028-05,0,0,0,0,0,0
TP69001-01-K,0,0,0,0,0,0
B117001-42,0,0,0,0,0,0
T58003-01-K-GW,0,0,0,0,0,0
B144001-02,0,0,0,0,0,0
R141016-03,0,0,0,0,0,0
T81001-01,0,0,0,0,0,0
T58012-02-K-GW,0,0,0,0,0,0
B86002-20,0,0,0,0,0,0
T58013-01-GW,0,0,0,0,0,0
T58011-01-K-GW,0,0,0,0,0,0
OB15205-02,0,0,0,0,0,0
D124001-02-K,0,0,0,0,0,0
P54007-01-TEST,0,0,0,0,0,0
SS-R94001-03,0,0,0,0,0,0
D10026-03-T,0,0,0,0,0,0
B121010-07,0,0,0,0,0,0
B117001-28,0,0,0,0,0,0
D143017-01,0,0,0,0,0,0
D126001-01-Q2,0,0,0,0,0,0
D84013-01-U,0,0,0,0,0,0
P15002-01,0,0,0,0,0,0
B121014-07,0,0,0,0,0,0
R141016-04,0,0,0,0,0,0
D086003-02,0,0,0,0,0,0
R141027-03,0,0,0,0,0,0
B83001-02,0,0,0,0,0,0
P56001-02,0,0,0,0,0,0
T95001-01,0,0,0,0,0,0
B86016-28,0,0,0,0,0,0
SS-D74002-02-K,0,0,0,0,0,0
P56026-01,0,0,0,0,0,0
D102001-01-K,0,0,0,0,0,0
D77010-01,0,0,0,0,0,0
P51005-01,0,0,0,0,0,0
D84006-01,0,0,0,0,0,0
T56004-01-GW,0,0,0,0,0,0
B15221-06,0,0,0,0,0,0
C82002-01,0,0,0,0,0,0
T61001-02,0,0,0,0,0,0
D121003-03-Q2,1,0,0,0,1,1
T84004-01,0,0,0,0,0,0
PM0001-GW-1,0,0,0,0,0,0
D12805-01,0,0,0,0,0,0
R13001-01-3,0,0,0,0,0,0
R141009-02,0,0,0,0,0,0
SS-D62018-03,0,0,0,0,0,0
SS80003-01,0,0,0,0,0,0
B86003-03,0,0,0,0,0,0
TP53007-01-Q4,0,0,0,0,0,0
P68003-01-Q2,0,0,0,0,0,0
SS-D68005-01,0,0,0,0,0,0
D121003-04-Q2,0,0,0,0,0,0
P10011-04,0,0,0,0,0,0
SS-R00011,0,0,0,0,0,0
TP53009-05-Q2,0,0,0,0,0,0
SC0001-30,0,0,0,0,0,0
SS-R00026,0,0,0,0,0,0
SS-R0005,0,0,0,0,0,0
B86006-10-K,0,0,0,0,0,0
B86002-01-B,0,0,0,0,0,0
D143004-02,0,0,0,0,0,0
T58027-01-T,0,0,0,0,0,0
B86002-35,0,0,0,0,0,0
T58015-02,0,0,0,0,0,0
C83006-02-K,0,0,0,0,0,0
T58025-01-T,0,0,0,0,0,0
D121007-01-Q2,0,0,0,0,0,0
R141022-01,0,0,0,0,0,0
B86009-28,0,0,0,0,0,0
SS-R0002,0,0,0,0,0,0
D101002-01-K,0,0,0,0,0,0
R141028-08,0,0,0,0,0,0
T84003-01,0,0,0,0,0,0
D124001-01-K,0,0,0,0,0,0
B86013-22,0,0,0,0,0,0
B86002-34,0,0,0,0,0,0
SS-R00029,0,0,0,0,0,0
P58003-01,0,0,0,0,0,0
D78002-02-K,0,0,0,0,0,0
B86019-35,0,0,0,0,0,0
R54011-01,0,0,0,0,0,0
D84015-02,0,0,0,0,0,0
F137001-08,1,1,1,2,0,-1
B121005-07,0,0,0,0,0,0
PROD-009,0,0,0,0,0,0
B120010-01,0,0,0,0,0,0
T58026-01-GW,0,0,0,0,0,0
B86016-05-K,4,0,0,0,4,4
SS-R126002-03,0,0,0,0,0,0
B86013-35,0,0,0,0,0,0
B86004-08-K,0,0,0,0,0,0
SS-R00015,0,0,0,0,0,0
T84002-01,0,0,0,0,0,0
R75002-01,0,0,0,0,0,0
B86015-28,0,0,0,0,0,0
D55001-01,0,0,0,0,0,0
B86008-35,0,0,0,0,0,0
P68004-01-K,0,0,0,0,0,0
T12002-01,0,0,0,0,0,0
D143014-06,0,0,0,0,0,0
P61002-01,0,0,0,0,0,0
P56021-01-C,0,0,0,0,0,0
SS80002-01,0,0,0,0,0,0
TP53009-01-Q2,0,0,0,0,0,0
B86020-28,0,0,0,0,0,0
F97020-01-C,0,0,0,0,0,0
R84011-02,0,0,0,0,0,0
D62004-01,0,0,0,0,0,0
TP53007-04,0,0,0,0,0,0
B86003-35,0,0,0,0,0,0
D120004-03,0,0,0,0,0,0
T12002-02-K-GW,0,0,0,0,0,0
B121004-06,0,0,0,0,0,0
D086003-03,0,0,0,0,0,0
T57003-01,0,0,0,0,0,0
R141023-01,0,0,0,0,0,0
P58003-02,0,0,0,0,0,0
F184005-02,0,0,0,0,0,0
T139003-02,0,0,0,0,0,0
B86002-03-B,0,0,0,0,0,0
R93009-04,0,0,0,0,0,0
SS-R00014,0,0,0,0,0,0
T58013-02-GW,0,0,0,0,0,0
B86004-04-K,0,0,0,0,0,0
D70005-03-K,0,0,0,0,0,0
D77002-01-Q3,0,0,0,0,0,0
S83001-01,0,0,0,0,0,0
TP53009-02-Q2,0,0,0,0,0,0
SS-R0009,0,0,0,0,0,0
R141022-03,0,0,0,0,0,0
P56016-01,0,0,0,0,0,0
B86011-03-Q3,0,0,0,0,0,0
B84046-01,0,0,0,0,0,0
R141015-03,0,0,0,0,0,0
T58019-02,0,0,0,0,0,0
R88022-05,0,0,0,0,0,0
R54026-03,0,0,0,0,0,0
D124001-03,0,0,0,0,0,0
R13001-01-2,0,0,0,0,0,0
R141022-06,0,0,0,0,0,0
R141015-02,0,0,0,0,0,0
C10007-01,0,0,0,0,0,0
B144001-01,0,0,0,0,0,0
D125004-02,0,0,0,0,0,0
B121011-07,0,0,0,0,0,0
B86018-28,0,0,0,0,0,0
TP53001-06-Q2,0,0,0,0,0,0
T12002-08-GW,0,0,0,0,0,0
B86005-01-K,0,0,0,0,0,0
C10004-02,0,0,0,0,0,0
D94001-01,0,0,0,0,0,0
D124002-02-Q2,0,0,0,0,0,0
B86103-13,0,0,0,0,0,0
SSP1000-05,0,0,0,0,0,0
T58011-01-GW,0,0,0,0,0,0
B86004-09-K,0,0,0,0,0,0
SS-T56002-02,0,0,0,0,0,0
B86009-03,0,0,0,0,0,0
R93029-07,0,0,0,0,0,0
B121011-06,0,0,0,0,0,0
B86002-10-K,0,0,0,0,0,0
P63002-01,0,0,0,0,0,0
D108001-01-K,0,0,0,0,0,0
R141022-04,0,0,0,0,0,0
R92003-03,0,0,0,0,0,0
TP53012-04,0,0,0,0,0,0
R141029-03,0,0,0,0,0,0
D101001-02-K,0,0,0,0,0,0
D77010-01-K,0,0,0,0,0,0
SS-C77002-01,0,0,0,0,0,0
B86023-05,0,0,0,0,0,0
T56001-01,0,0,0,0,0,0
D10002-01-Q1,0,0,0,0,0,0
D12815-01,0,0,0,0,0,0
SS-R00017,0,0,0,0,0,0
F97016-01,0,0,0,0,0,0
P61003-02,0,0,0,0,0,0
B86002-04-K,0,0,0,0,0,0
R141030-03,0,0,0,0,0,0
D84012-01-Q4,0,0,0,0,0,0
C63001-01,0,0,0,0,0,0
R93009-05,0,0,0,0,0,0
B86016-01-K,0,0,0,0,0,0
SS-R00027,0,0,0,0,0,0
B86004-07-K,0,0,0,0,0,0
T58003-01-GW,0,0,0,0,0,0
B121002-07,0,0,0,0,0,0
D101003-03,78,0,0,0,78,78
B83001-01,0,0,0,0,0,0
R93001-05,0,0,0,0,0,0
R54017-01-2,0,0,0,0,0,0
D121004-04-Q2,77,0,0,0,77,77
R141029-08,0,0,0,0,0,0
B86018-35,0,0,0,0,0,0
SS-R00013,0,0,0,0,0,0
TP53007-05-Q2,0,0,0,0,0,0
T12001-03-GW,0,0,0,0,0,0
SS-T57002-02,0,0,0,0,0,0
B86007-28,0,0,0,0,0,0
R84007-02,0,0,0,0,0,0
F137003-01,0,0,0,0,0,0
SS-P56027-01,0,0,0,0,0,0
B86002-28,0,0,0,0,0,0
C83006-01-K,0,0,0,0,0,0
P56024-01,0,0,0,0,0,0
P67004-02-Q2,0,0,0,0,0,0
D124001-02-Q2,0,0,0,0,0,0
R141010-06,0,0,0,0,0,0
D12810-01,0,0,0,0,0,0
D74001-02,0,0,0,0,0,0
R120025-04,1,0,0,0,1,1
D121001-04,1,1,3,4,0,-3
B121009-03,21,1,0,1,20,20
B117001-22,278,3,0,3,275,275
B117001-20,47,3,0,3,44,44
R133003-01,0,0,0,0,0,0
D121016-02,10,8,0,8,2,2
R54004-01,0,0,1,1,0,-1
D83001-02,0,0,1,1,0,-1
R93044-01,1,1,0,1,0,0
D119003-01,0,0,2,2,0,-2
R93029-08,0,0,0,0,0,0
P84017-02-C,2,2,4,6,0,-4
T123002-02,0,0,2,2,0,-2
TP13002-03-Q4,1,0,0,0,1,1
B86013-18,0,0,1,1,0,-1
P156002-01-C,0,0,6,6,0,-6
SS-R00018,0,0,0,0,0,0
R54010-01,0,0,0,0,0,0
R141022-05,0,0,0,0,0,0
R88038-08,0,0,0,0,0,0
SS-R0003,0,0,0,0,0,0
B121011-07-Q3,0,0,0,0,0,0
G10011-01,0,0,0,0,0,0
SS-R84010-03,0,0,0,0,0,0
B86101-13,1,0,0,0,1,1
B86012-35,0,0,0,0,0,0
B121004-07,0,0,0,0,0,0
T57001-02-K,0,0,0,0,0,0
B10007-01,0,0,0,0,0,0
P68002-01,0,0,0,0,0,0
D127001-03-K,0,0,0,0,0,0
B86005-07-K,0,0,0,0,0,0
B86018-34,0,0,0,0,0,0
B86005-09-K,0,0,0,0,0,0
B144002-02,0,0,0,0,0,0
T58017-01,0,0,0,0,0,0
R93009-03,0,0,0,0,0,0
R13001-02-1,0,0,0,0,0,0
TP53007-04-Q2,0,0,0,0,0,0
D124002-01-Q2,0,0,0,0,0,0
B86008-34,0,0,0,0,0,0
R141002-05,0,0,0,0,0,0
P122006-02-C,5,0,0,0,5,5
PM1001-61,29,0,0,0,29,29
B121025-01,0,0,0,0,0,0
R84010-04,0,0,1,1,0,-1
D121015-02,9,6,0,6,3,3
B86003-17,0,0,0,0,0,0
PM1001-59,0,0,3,3,0,-3
D121020-02,14,12,0,12,2,2
D83002-01,0,0,0,0,0,0
D73015-01,0,0,0,0,0,0
D121003-04,4,4,12,16,0,-12
B86100-01,7,1,0,1,6,6
P56056-02-C,0,0,0,0,0,0
P84045-01-C,1,1,5,6,0,-5
D121017-03,8,8,2,10,0,-2
B86022-10,0,0,1,1,0,-1
R141011-02,0,0,0,0,0,0
B86100-05,21,1,0,1,20,20
R126002-02,0,0,0,0,0,0
B86103-17,17,1,0,1,16,16
D101005-02,0,0,2,2,0,-2
R88012-02,0,0,0,0,0,0
B121008-06,0,0,0,0,0,0
B86016-08-K,0,0,0,0,0,0
SSP1000-04,0,0,0,0,0,0
T56002-01,0,0,0,0,0,0
D84013-01,0,0,0,0,0,0
B86004-10-K,0,0,0,0,0,0
B86015-03,0,0,0,0,0,0
D12819-01,0,0,0,0,0,0
B83001-02-B,0,0,0,0,0,0
SS-D83002-01,0,0,0,0,0,0
B121023-03,0,0,0,0,0,0
D12806-01,0,0,0,0,0,0
P63003-01-U,0,0,0,0,0,0
B86008-03,0,0,0,0,0,0
SSB84002-02,0,0,0,0,0,0
P56038-01,0,0,0,0,0,0
T58023-01-T,0,0,0,0,0,0
SS-B86015-04,0,0,0,0,0,0
R92003-01,0,0,0,0,0,0
P10009-01,0,0,0,0,0,0
B86018-03,0,0,0,0,0,0
P81005-01,0,0,0,0,0,0
P56025-01,0,0,0,0,0,0
D119014-02,0,0,1,1,0,-1
D121002-04,0,0,16,16,0,-16
B86007-18,4,4,0,4,0,0
R141014-02,0,0,0,0,0,0
T58045-01,0,0,3,3,0,-3
B125002-01,0,0,1,1,0,-1
R141008-08,1,0,0,0,1,1
P56045-02-C,0,0,3,3,0,-3
P84012-06-C,5,0,0,0,5,5
P84021-02-C,2,2,0,2,0,0
D73016-01,0,0,0,0,0,0
B121012-05,0,0,1,1,0,-1
D62003-02,2,2,2,4,0,-2
F97021-02,13,0,0,0,13,13
P84021-05-C,0,0,2,2,0,-2
T57001-02,0,0,0,0,0,0
R56002-01,0,0,0,0,0,0
SS-B86015-02,0,0,0,0,0,0
P56021-01-Q2,0,0,0,0,0,0
R92002-03,0,0,0,0,0,0
SS-R126006-01,0,0,0,0,0,0
D62014-01,0,0,0,0,0,0
SS-R126003-02,0,0,0,0,0,0
R88012-04,0,0,0,0,0,0
SS80004-01,0,0,0,0,0,0
T12002-09-K-GW,0,0,0,0,0,0
SS-B66002-01,0,0,0,0,0,0
B121001-07,0,0,0,0,0,0
P56054-01-C,0,0,0,0,0,0
SS-R0007,0,0,0,0,0,0
B86012-28,0,0,0,0,0,0
B86005-06-K,0,0,0,0,0,0
P54008-01,0,0,0,0,0,0
SS-R00035,0,0,0,0,0,0
T58025-01-GW,0,0,0,0,0,0
PM0002-GW-1,0,0,0,0,0,0
B121002-07-K,0,0,0,0,0,0
R91001-01,0,0,0,0,0,0
B117001-43,0,0,0,0,0,0
R141009-03,0,0,0,0,0,0
P56028-01,0,0,0,0,0,0
D690010-01,0,0,0,0,0,0
B125004-01,0,0,0,0,0,0
T58029-01,1,1,0,1,0,0
D141001-09,2,2,3,5,0,-3
P56032-02-C,0,0,2,2,0,-2
R93018-01,0,0,3,3,0,-3
D70002-01-P,0,0,2,2,0,-2
D121013-01,0,0,2,2,0,-2
D141001-07,0,0,2,2,0,-2
P56017-04-C,1,1,3,4,0,-3
P58005-01-C,1,1,1,2,0,-1
P56057-01-C,0,0,1,1,0,-1
P56030-01-C,3,3,0,3,0,0
D101001-02,406,0,0,0,406,406
B86100-09,22,1,0,1,21,21
B86002-18,0,0,1,1,0,-1
T58046-01,2,0,0,0,2,2
B86100-14,4,1,0,1,3,3
B86102-21,9,0,0,0,9,9
D086003-01,0,0,0,0,0,0
B86014-28,0,0,0,0,0,0
B86020-24,0,0,0,0,0,0
S104002-01,0,0,0,0,0,0
B121005-06,0,0,0,0,0,0
TP115002-01-Q3,0,0,0,0,0,0
B121001-06-K,0,0,0,0,0,0
D94001-02,0,0,0,0,0,0
P55003-01,0,0,0,0,0,0
T57001-01-K,0,0,0,0,0,0
B86004-06-K,0,0,0,0,0,0
TP53007-01,0,0,0,0,0,0
B86016-06-K,0,0,0,0,0,0
B86005-03-K,0,0,0,0,0,0
PROD-007,0,0,0,0,0,0
D124001-01,0,0,0,0,0,0
R133003-03,2,0,0,0,2,2
R66001-01,0,0,0,0,0,0
R141029-04,0,0,0,0,0,0
B86103-14,1,1,0,1,0,0
B86021-09,0,0,0,0,0,0
R93046-06,1,1,0,1,0,0
D140001-01,0,0,20,20,0,-20
R88026-05,0,0,1,1,0,-1
B60008-01,1,1,0,1,0,0
T58033-01,1,1,0,1,0,0
R61009-01,1,1,0,1,0,0
P141011-01-C,0,0,2,2,0,-2
P56030-02-C,0,0,1,1,0,-1
R93031-06,0,0,0,0,0,0
T58013-02-T,0,0,0,0,0,0
SS-T57003-01,0,0,0,0,0,0
B86019-03,0,0,0,0,0,0
T57002-02,0,0,0,0,0,0
R88032-07,2,0,0,0,2,2
T13005-01-K,0,0,0,0,0,0
T56001-01-K,0,0,0,0,0,0
R93033-07,0,0,0,0,0,0
T58009-01-K-GW,0,0,0,0,0,0
B86003-02-K,0,0,0,0,0,0
T57003-02-K,0,0,0,0,0,0
TP53004-03,0,0,0,0,0,0
D124002-01-K,0,0,0,0,0,0
D73006-01,0,0,0,0,0,0
TP53007-05,0,0,0,0,0,0
R93002-02,0,0,0,0,0,0
R141028-03,0,0,0,0,0,0
P55002-01,0,0,0,0,0,0
B121003-06,0,0,0,0,0,0
SS-T57004-01,0,0,0,0,0,0
SS-R00020,0,0,0,0,0,0
B86003-28,0,0,0,0,0,0
T58023-01-GW,0,0,0,0,0,0
P71002-02,0,0,0,0,0,0
S69002-01,0,0,0,0,0,0
R141002-06,0,0,0,0,0,0
D141001-08,10,1,0,1,9,9
D140027-01,25,0,0,0,25,25
D141001-10,3,3,8,11,0,-8
P126001-01-C,0,0,2,2,0,-2
P141003-01-C,0,0,0,0,0,0
B125004-02,0,0,156,156,0,-156
B125003-02,2,2,4,6,0,-4
B121023-06,0,0,0,0,0,0
R133003-02,0,0,0,0,0,0
R88027-06,2,1,0,1,1,1
P156001-01-C,0,0,3,3,0,-3
P61001-01-C,0,0,1,1,0,-1
D090011-01,0,0,0,0,0,0
P56039-01-C,1,1,3,4,0,-3
T58012-01,0,0,2,2,0,-2
R93003-03,0,0,2,2,0,-2
P84060-02-C,0,0,2,2,0,-2
R54016-02,21,0,0,0,21,21
T58014-01-GW,0,0,0,0,0,0
D124001-02,0,0,0,0,0,0
SS-D60004-01-Q3,0,0,0,0,0,0
P67004-02,0,0,0,0,0,0
SS-C10001-02,0,0,0,0,0,0
B86012-34,0,0,0,0,0,0
B86007-17,0,0,0,0,0,0
R141024-07,0,0,0,0,0,0
P56051-01-C,0,0,0,0,0,0
D84014-01-K,0,0,0,0,0,0
TP53009-06,0,0,0,0,0,0
D62014-02,0,0,0,0,0,0
SS-B86014-07,0,0,0,0,0,0
P71001-01,0,0,0,0,0,0
R84006-01,0,0,0,0,0,0
B86008-28,0,0,0,0,0,0
D121008-03-Q2,0,0,0,0,0,0
B149001-01,1,0,0,0,1,1
D84015-01,0,0,0,0,0,0
R141024-03,0,0,0,0,0,0
R141012-01,0,0,0,0,0,0
B86011-34,0,0,0,0,0,0
P56018-01,0,0,0,0,0,0
B121012-06,0,0,0,0,0,0
D84014-02-K,0,0,0,0,0,0
P84001-02,0,0,0,0,0,0
T55001-01,0,0,0,0,0,0
D101001-01,0,0,0,0,0,0
B121011-01,22,0,0,0,22,22
R88005-03,0,0,0,0,0,0
B117001-21,367,3,0,3,364,364
D140026-01,57,0,0,0,57,57
PM1001-56,3593,0,0,0,3593,3593
T58013-03,0,0,0,0,0,0
D141001-06,3,3,0,3,0,0
R93041-05,0,0,0,0,0,0
B86013-02,0,0,2,2,0,-2
B86100-10,22,1,0,1,21,21
R120022-07,1,1,0,1,0,0
B86001-09-K,29,0,0,0,29,29
P84021-01-C,2,2,1,3,0,-1
P840604-01-C,0,0,1,1,0,-1
P056073-01-C,0,0,3,3,0,-3
P20001-44,774,0,0,0,774,774
R141019-08,2,1,0,1,1,1
R93044-06,0,0,3,3,0,-3
P81012-01-C,1,1,0,1,0,0
B86006-04-K,0,0,0,0,0,0
D124002-02,0,0,0,0,0,0
P12001-01-C,0,0,0,0,0,0
D120004-01,0,0,0,0,0,0
D10002-01-Q3,0,0,0,0,0,0
R75001-01,0,0,0,0,0,0
R54010-03,0,0,0,0,0,0
P55001-01,0,0,0,0,0,0
D143014-05,0,0,0,0,0,0
R93002-04,0,0,0,0,0,0
B121003-07-K,0,0,0,0,0,0
P56012-01,0,0,0,0,0,0
SS-R00031,0,0,0,0,0,0
B86020-35,0,0,0,0,0,0
SS-R00036,0,0,0,0,0,0
TP53001-01,0,0,0,0,0,0
D77004-01,0,0,0,0,0,0
R106002-04,0,0,0,0,0,0
R141030-04,0,0,0,0,0,0
B86003-07-K,0,0,0,0,0,0
SS-T62002-02,0,0,0,0,0,0
B86101-14,1,0,0,0,1,1
R84009-01-K,0,0,0,0,0,0
D12807-01,0,0,0,0,0,0
B86004-05-K,16,0,0,0,16,16
T56002-01-B,0,0,0,0,0,0
SS-R00022,0,0,0,0,0,0
B86004-03-K,0,0,0,0,0,0
R84008-04,0,0,0,0,0,0
B121016-01,0,0,0,0,0,0
B86103-24,6,0,0,0,6,6
P56014-01-C,1,1,0,1,0,0
T58051-02,2,2,0,2,0,0
P122005-02-C,11,0,0,0,11,11
D116004-01,0,0,6,6,0,-6
PM1001-62,142,0,0,0,142,142
PM1001-60,1423,0,0,0,1423,1423
B86001-02,0,0,0,0,0,0
B86101-18,0,0,0,0,0,0
PM1001-20,4129,0,0,0,4129,4129
B121004-02,0,0,0,0,0,0
R126005-01,0,0,0,0,0,0
D119004-02,0,0,2,2,0,-2
P84058-01-C,1,1,0,1,0,0
R161016-07,3,3,0,3,0,0
D73012-01,0,0,2,2,0,-2
P81010-01-C,4,3,0,3,1,1
R93029-05,0,0,1,1,0,-1
B86100-21,14,2,0,2,12,12
R126006-01,0,0,1,1,0,-1
PM1001-10,2529,0,0,0,2529,2529
PM1001-55,2312,0,0,0,2312,2312
B86011-17,1,1,0,1,0,0
B86104-02,3,3,1,4,0,-1
D121008-01-Q2,17,2,0,2,15,15
P54005-01-C,0,0,2,2,0,-2
D121019-04,0,0,0,0,0,0
D121014-03-Q2,8,8,4,12,0,-4
D119014-01,1,1,2,3,0,-2
B13402-02,1,0,0,0,1,1
T58002-01,3,3,3,6,0,-3
P156001-02-C,16,5,0,5,11,11
D121018-02,3,3,13,16,0,-13
T58050-01,3,3,2,5,0,-2
D84008-05-Q6,0,0,1,1,0,-1
P122005-01-C,4,1,0,1,3,3
B121019-01,55,0,0,0,55,55
P56075-01-C,6,6,1,7,0,-1
B86009-24,0,0,1,1,0,-1
B86103-19,0,0,2,2,0,-2
R141014-01,6,1,0,1,5,5
R141014-04,1,0,0,0,1,1
D125003-02,1,1,0,1,0,0
B86103-18,42,0,0,0,42,42
00004556-001-KI-M-001-B2,0,0,1,1,0,-1
00004556-002-CK-M-001-B2,0,0,2,2,0,-2
D90000-01,0,0,12,12,0,-12
00004556-003-CK-W-005-B1,0,0,0,0,0,0
00004556-002-QU-W-007-B2,0,0,0,0,0,0
00004556-005-QU-S-007-B2,0,0,0,0,0,0
00004556-001-KI-W-007-B3,0,0,0,0,0,0
00004556-001-CK-W-004-B2,0,0,0,0,0,0
00004556-004-QU-S-006-B2,0,0,0,0,0,0
00004556-008-CK-S-007-B2,0,0,0,0,0,0
00004556-006-CK-S-005-B2,0,0,0,0,0,0
00004556-001-QU-W-003-B3,0,0,0,0,0,0
00004556-002-FL-W-006-B2,0,0,0,0,0,0
00004556-005-FL-S-001-B3,0,0,0,0,0,0
D146001-02,0,0,0,0,0,0
00004556-001-QU-W-006-B3,0,0,0,0,0,0
00004556-009-FL-S-007-B1,0,0,0,0,0,0
00004556-006-KI-S-005-B3,0,0,0,0,0,0
R120027-04,0,0,0,0,0,0
00004556-009-KI-S-001-B1,0,0,1,1,0,-1
R120027-02,1,1,2,3,0,-2
00004556-001-FL-M-003-B2,0,0,0,0,0,0
00004556-002-CK-W-005-B1,0,0,0,0,0,0
00004556-008-FL-S-004-B1,0,0,1,1,0,-1
00004556-006-CK-S-007-B2,0,0,0,0,0,0
00004556-004-FL-S-001-B1,0,0,0,0,0,0
00004556-004-TW-S-005-B1,0,0,0,0,0,0
R120013-06,10,1,0,1,9,9
00004556-001-TW-M-002-B3,0,0,0,0,0,0
00004556-002-CK-W-003-B2,0,0,0,0,0,0
R88036-08,2,0,0,0,2,2
00004556-002-CK-W-006-B2,0,0,0,0,0,0
00004556-003-TW-M-005-B1,0,0,0,0,0,0
00004556-005-FL-S-002-B1,0,0,0,0,0,0
00004556-009-QU-S-002-B2,0,0,0,0,0,0
R88018-05,8,0,0,0,8,8
00004556-006-FL-S-002-B2,0,0,0,0,0,0
01027841-014-FL-W-002,0,0,0,0,0,0
D146002-01,0,0,0,0,0,0
00004556-004-CK-S-007-B2,0,0,0,0,0,0
R141006-08,1,0,0,0,1,1
00004556-006-QU-S-001- B3,0,0,0,0,0,0
R120042-01,0,0,0,0,0,0
